[11/06 00:07:06] d2.utils.events INFO:  eta: 7:32:56  iter: 1499  total_loss: 0.373  loss_cls: 0.100  loss_box_reg: 0.253  loss_rpn_cls: 0.008  loss_rpn_loc: 0.006  time: 2.0095  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/06 00:07:47] d2.utils.events INFO:  eta: 7:32:15  iter: 1519  total_loss: 0.361  loss_cls: 0.090  loss_box_reg: 0.269  loss_rpn_cls: 0.009  loss_rpn_loc: 0.006  time: 2.0098  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/06 00:08:26] d2.utils.events INFO:  eta: 7:31:26  iter: 1539  total_loss: 0.513  loss_cls: 0.123  loss_box_reg: 0.374  loss_rpn_cls: 0.007  loss_rpn_loc: 0.006  time: 2.0092  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:09:06] d2.utils.events INFO:  eta: 7:30:45  iter: 1559  total_loss: 0.490  loss_cls: 0.118  loss_box_reg: 0.339  loss_rpn_cls: 0.010  loss_rpn_loc: 0.007  time: 2.0091  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/06 00:09:47] d2.utils.events INFO:  eta: 7:30:06  iter: 1579  total_loss: 0.415  loss_cls: 0.102  loss_box_reg: 0.276  loss_rpn_cls: 0.011  loss_rpn_loc: 0.008  time: 2.0093  data_time: 0.0027  lr: 0.002500  max_mem: 4622M
[11/06 00:10:28] d2.utils.events INFO:  eta: 7:29:28  iter: 1599  total_loss: 0.404  loss_cls: 0.095  loss_box_reg: 0.285  loss_rpn_cls: 0.009  loss_rpn_loc: 0.009  time: 2.0098  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/06 00:11:08] d2.utils.events INFO:  eta: 7:28:46  iter: 1619  total_loss: 0.405  loss_cls: 0.120  loss_box_reg: 0.261  loss_rpn_cls: 0.008  loss_rpn_loc: 0.008  time: 2.0097  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/06 00:11:48] d2.utils.events INFO:  eta: 7:28:07  iter: 1639  total_loss: 0.456  loss_cls: 0.122  loss_box_reg: 0.288  loss_rpn_cls: 0.010  loss_rpn_loc: 0.008  time: 2.0096  data_time: 0.0028  lr: 0.002500  max_mem: 4622M
[11/06 00:12:27] d2.utils.events INFO:  eta: 7:27:27  iter: 1659  total_loss: 0.370  loss_cls: 0.102  loss_box_reg: 0.245  loss_rpn_cls: 0.009  loss_rpn_loc: 0.010  time: 2.0092  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:13:08] d2.utils.events INFO:  eta: 7:26:54  iter: 1679  total_loss: 0.388  loss_cls: 0.102  loss_box_reg: 0.232  loss_rpn_cls: 0.007  loss_rpn_loc: 0.006  time: 2.0093  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/06 00:13:48] d2.utils.events INFO:  eta: 7:26:24  iter: 1699  total_loss: 0.467  loss_cls: 0.159  loss_box_reg: 0.280  loss_rpn_cls: 0.011  loss_rpn_loc: 0.006  time: 2.0094  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:14:28] d2.utils.events INFO:  eta: 7:25:53  iter: 1719  total_loss: 0.430  loss_cls: 0.138  loss_box_reg: 0.286  loss_rpn_cls: 0.011  loss_rpn_loc: 0.007  time: 2.0095  data_time: 0.0032  lr: 0.002500  max_mem: 4622M
[11/06 00:15:08] d2.utils.events INFO:  eta: 7:25:00  iter: 1739  total_loss: 0.514  loss_cls: 0.149  loss_box_reg: 0.336  loss_rpn_cls: 0.014  loss_rpn_loc: 0.008  time: 2.0090  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:15:49] d2.utils.events INFO:  eta: 7:24:33  iter: 1759  total_loss: 0.530  loss_cls: 0.127  loss_box_reg: 0.362  loss_rpn_cls: 0.010  loss_rpn_loc: 0.008  time: 2.0094  data_time: 0.0030  lr: 0.002500  max_mem: 4622M
[11/06 00:16:29] d2.utils.events INFO:  eta: 7:24:14  iter: 1779  total_loss: 0.486  loss_cls: 0.111  loss_box_reg: 0.342  loss_rpn_cls: 0.010  loss_rpn_loc: 0.009  time: 2.0096  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/06 00:17:09] d2.utils.events INFO:  eta: 7:23:36  iter: 1799  total_loss: 0.395  loss_cls: 0.093  loss_box_reg: 0.277  loss_rpn_cls: 0.007  loss_rpn_loc: 0.006  time: 2.0096  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
[11/06 00:17:49] d2.utils.events INFO:  eta: 7:22:56  iter: 1819  total_loss: 0.502  loss_cls: 0.118  loss_box_reg: 0.367  loss_rpn_cls: 0.008  loss_rpn_loc: 0.007  time: 2.0094  data_time: 0.0029  lr: 0.002500  max_mem: 4622M
